Accession,genome_count_A,genome_count_B,absent_count_A,absent_count_B,total_genomes_A,total_genomes_B,freq_A,freq_B,odds_ratio_A_vs_B,p_value,freq_difference_A_minus_B,absolute_freq_difference,freq_ratio,fdr_bh,significant_fdr,enriched_clade
VFG015962(gb|WP_012075675),3292,1585,5448,1254,8740,2839,0.37665903890160185,0.558295174357168,0.47809657451364385,2.5644995434515044e-64,-0.18163613545556617,0.18163613545556617,1.4822295941317278,4.085390244915105e-63,TRUE,Clade_B
VFG013762(gb|WP_003141352),2329,1235,6411,1604,8740,2839,0.2664759725400458,0.43501232828460723,0.47185593746808335,9.886143670477796e-62,-0.16853635574456144,0.16853635574456144,1.6324636106515529,1.4631492632307138e-60,TRUE,Clade_B
VFG015974(gb|WP_041025344),3327,1563,5413,1276,8740,2839,0.3806636155606407,0.5505459668897499,0.5017963517970404,1.6978474781937222e-56,-0.16988235132910917,0.16988235132910917,1.4462794561516124,2.434288821860249e-55,TRUE,Clade_B
VFG013862(gb|WP_003116135),1217,775,7523,2064,8740,2839,0.13924485125858124,0.27298344487495596,0.43086713817882505,5.052608024628975e-56,-0.13373859361637472,0.13373859361637472,1.9604562926927813,7.154742474382018e-55,TRUE,Clade_B
VFG013925(gb|WP_016254061),1252,786,7488,2053,8740,2839,0.14324942791762013,0.27685804860866503,0.43675708847297895,5.034897263145687e-55,-0.1336086206910449,0.1336086206910449,1.9326991572202337,7.04271604979037e-54,TRUE,Clade_B
VFG013872(gb|WP_003116136),1222,773,7518,2066,8740,2839,0.13981693363844394,0.27227897146882707,0.43446530070947376,5.9368044745094284e-55,-0.13246203783038313,0.13246203783038313,1.9473962443842459,8.253957251227048e-54,TRUE,Clade_B
VFG016021(gb|WP_003148545),3442,1592,5298,1247,8740,2839,0.39382151029748286,0.5607608312786192,0.5089114814217492,2.0285964258954453e-54,-0.16693932098113634,0.16693932098113634,1.4238958934849306,2.8033736150627416e-53,TRUE,Clade_B
VFG013849(gb|WP_003141783),1232,775,7508,2064,8740,2839,0.14096109839816934,0.27298344487495596,0.4370483352015597,2.5770110416987487e-54,-0.13202234647678662,0.13202234647678662,1.9365871008174635,3.539918161471215e-53,TRUE,Clade_B
VFG013810(gb|WP_003116267),1245,779,7495,2060,8740,2839,0.14244851258581237,0.2743923916872138,0.439301007511114,6.013731666990782e-54,-0.13194387910140143,0.13194387910140143,1.9262566291937737,8.2116074071886045e-53,TRUE,Clade_B
VFG013931(gb|WP_003116263),1249,780,7491,2059,8740,2839,0.14290617848970252,0.27474462839027824,0.4401685268489224,7.961145982904151e-54,-0.13183844990057572,0.13183844990057572,1.922552483691779,1.0806431292770486e-52,TRUE,Clade_B
VFG013962(gb|WP_003141552),1248,779,7492,2060,8740,2839,0.14279176201372998,0.2743923916872138,0.44053572135154023,1.1309177691343706e-53,-0.13160062967348382,0.13160062967348382,1.921626204604366,1.5260737425848507e-52,TRUE,Clade_B
VFG014565(gb|WP_012076409),6055,2363,2685,476,8740,2839,0.6927917620137299,0.8323353293413174,0.45430416667398543,7.295175362960694e-51,-0.13954356732758744,0.13954356732758744,1.201422093879953,9.673486868573312e-50,TRUE,Clade_B
VFG016094(gb|WP_012075666),1735,926,7005,1913,8740,2839,0.19851258581235698,0.3261711870376893,0.5117025525457704,1.6683296001150864e-42,-0.12765860122533235,0.12765860122533235,1.6430756050198299,2.1622305664768407e-41,TRUE,Clade_B
VFG015510(gb|WP_012074248),8063,2792,677,47,8740,2839,0.9225400457665904,0.9834448749559704,0.20049740219249612,2.639203724304973e-39,-0.060904829189380005,0.060904829189380005,1.0660186291845692,3.3823091304779937e-38,TRUE,Clade_B
VFG015531(gb|WP_012074248),8063,2792,677,47,8740,2839,0.9225400457665904,0.9834448749559704,0.20049740219249612,2.639203724304973e-39,-0.060904829189380005,0.060904829189380005,1.0660186291845692,3.3823091304779937e-38,TRUE,Clade_B
VFG015509(gb|NP_252901),8065,2792,675,47,8740,2839,0.9227688787185355,0.9834448749559704,0.20114129734177152,4.0049445891326366e-39,-0.060675996237434915,0.060675996237434915,1.065754272425937,4.993121134494711e-38,TRUE,Clade_B
VFG015511(gb|WP_011666542),8065,2792,675,47,8740,2839,0.9227688787185355,0.9834448749559704,0.20114129734177152,4.0049445891326366e-39,-0.060675996237434915,0.060675996237434915,1.065754272425937,4.993121134494711e-38,TRUE,Clade_B
VFG015530(gb|NP_250592),8065,2792,675,47,8740,2839,0.9227688787185355,0.9834448749559704,0.20114129734177152,4.0049445891326366e-39,-0.060675996237434915,0.060675996237434915,1.065754272425937,4.993121134494711e-38,TRUE,Clade_B
VFG015532(gb|WP_011666699),8065,2792,675,47,8740,2839,0.9227688787185355,0.9834448749559704,0.20114129734177152,4.0049445891326366e-39,-0.060675996237434915,0.060675996237434915,1.065754272425937,4.993121134494711e-38,TRUE,Clade_B
VFG020024(gb|WP_003093621),8065,2792,675,47,8740,2839,0.9227688787185355,0.9834448749559704,0.20114129734177152,4.0049445891326366e-39,-0.060675996237434915,0.060675996237434915,1.065754272425937,4.993121134494711e-38,TRUE,Clade_B
VFG022919(gb|YP_001701702),1003,606,7737,2233,8740,2839,0.11475972540045766,0.21345544205706235,0.47771799590682806,6.131370252806943e-37,-0.09869571665660469,0.09869571665660469,1.8600205020725076,7.402822821020594e-36,TRUE,Clade_B
VFG027157(gb|WP_005092754),1003,606,7737,2233,8740,2839,0.11475972540045766,0.21345544205706235,0.47771799590682806,6.131370252806943e-37,-0.09869571665660469,0.09869571665660469,1.8600205020725076,7.402822821020594e-36,TRUE,Clade_B
VFG015904(gb|WP_164920479),3186,1417,5554,1422,8740,2839,0.3645308924485126,0.49911940824233886,0.575676779214169,1.2873219267699575e-36,-0.13458851579382625,0.13458851579382625,1.369210178291915,1.538081510422022e-35,TRUE,Clade_B
VFG016039(gb|WP_012075665),3291,1451,5449,1388,8740,2839,0.3765446224256293,0.5110954561465305,0.5777531731724891,2.7680661127235385e-36,-0.1345508337209012,0.1345508337209012,1.3573303818659,3.2483626526287705e-35,TRUE,Clade_B
VFG016017(gb|WP_003148547),3289,1450,5451,1389,8740,2839,0.3763157894736842,0.510743219443466,0.5780043399901039,2.775410112969656e-36,-0.1344274299697818,0.1344274299697818,1.357219743975644,3.2483626526287705e-35,TRUE,Clade_B
VFG014079(gb|WP_012074003),144,183,8596,2656,8740,2839,0.016475972540045767,0.06445931666079606,0.24319724835270187,6.554227433717654e-35,-0.047983344120750296,0.047983344120750296,3.9123224139955384,7.632181590329085e-34,TRUE,Clade_B
VFG015104(gb|WP_011666708),7656,2690,1084,149,8740,2839,0.8759725400457666,0.9475167312433955,0.39123344238086055,2.2001647311414447e-30,-0.07154419119762889,0.07154419119762889,1.0816740113724237,2.5235889466192372e-29,TRUE,Clade_B
VFG031348(gb|NP_217787),130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,6.772338503533301e-25,TRUE,Clade_B
VFG031371(gb|WP_015288494),130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,6.772338503533301e-25,TRUE,Clade_B
VFG031372(gb|WP_015303793),130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,6.772338503533301e-25,TRUE,Clade_B
VFG031387(gb|WP_015695583),130,150,8610,2689,8740,2839,0.014874141876430207,0.0528355054596689,0.2707187066355167,6.46531007965908e-26,-0.03796136358323869,0.03796136358323869,3.5521716747500474,6.772338503533301e-25,TRUE,Clade_B
VFG051546(gb|WP_003140086.1),8296,2807,444,32,8740,2839,0.94919908466819225,0.9887284255019373,0.21301766404761668,3.952556496246439e-25,-0.03952934083374504,0.03952934083374504,1.0416449420066214,4.1214384556315146e-24,TRUE,Clade_B
VFG051500(gb|WP_011536257.1),1956,897,6784,1942,8740,2839,0.22379862700228834,0.31595632264882,0.6242721864838792,2.364535191868391e-22,-0.09215769564653167,0.09215769564653167,1.4117884764574062,2.3895346828837402e-21,TRUE,Clade_B
VFG014147(gb|WP_003138484),8477,2830,263,9,8740,2839,0.9699084668192219,0.9968298696724198,0.1025143835960883,3.3287801922303894e-22,-0.026921402853197884,0.026921402853197884,1.0277566427907219,3.3492200706037338e-21,TRUE,Clade_B
VFG019790(gb|WP_003122257),8485,2830,255,9,8740,2839,0.9708237986270023,0.9968298696724198,0.10583020836211077,2.9990855632809676e-21,-0.026006071045417523,0.026006071045417523,1.0267876324027048,2.991261861811539e-20,TRUE,Clade_B
VFG014117(gb|NP_251831),8478,2829,262,10,8740,2839,0.9700228832951945,0.9964776329693554,0.11439316058155666,3.2171381532777996e-21,-0.02645474967416095,0.02645474967416095,1.0272722944270072,3.1948549452897285e-20,TRUE,Clade_B
VFG042699(gb|NP_252771),8592,2839,148,0,8740,2839,0.9830663615560641,1,0,1.0685821532303835e-18,-0.016933638443935917,0.016933638443935917,1.0172253258845438,1.0520718710345492e-17,TRUE,Clade_B
VFG015827(gb|WP_012315395),23,57,8717,2782,8740,2839,0.002631578947368421,0.020077492074674182,0.1287985942159915,1.3952384972464005e-18,-0.01744591312730576,0.01744591312730576,7.6294469883761895,1.3678107319159158e-17,TRUE,Clade_B
VFG042701(gb|NP_252773),8580,2838,160,1,8740,2839,0.9816933638443935,0.9996477632969355,0.018879382985509608,1.4306180006102455e-18,-0.017954399452541958,0.017954399452541958,1.018289213428347,1.396526678042512e-17,TRUE,Clade_B
VFG001238(gb|NP_249771),8597,2839,143,0,8740,2839,0.9836384439359268,1,0,4.540661120676678e-18,-0.01636155606407319,0.01636155606407319,1.0166337094335234,4.3582747325658155e-17,TRUE,Clade_B
VFG014189(gb|WP_003086405),8597,2839,143,0,8740,2839,0.9836384439359268,1,0,4.540661120676678e-18,-0.01636155606407319,0.01636155606407319,1.0166337094335234,4.3582747325658155e-17,TRUE,Clade_B
VFG019797(gb|WP_003082154),8597,2839,143,0,8740,2839,0.9836384439359268,1,0,4.540661120676678e-18,-0.01636155606407319,0.01636155606407319,1.0166337094335234,4.3582747325658155e-17,TRUE,Clade_B
VFG042698(gb|NP_252770),8614,2839,126,0,8740,2839,0.98558352402746,1,0,5.432184219357863e-16,-0.014416475972540033,0.014416475972540033,1.0146273508242396,5.107143688199564e-15,TRUE,Clade_B
VFG042706(gb|NP_249685),8487,2823,253,16,8740,2839,0.9710526315789474,0.9943642127509686,0.1901397472020524,5.845035465360693e-16,-0.023311581172021256,0.023311581172021256,1.024006506356011,5.472861778586706e-15,TRUE,Clade_B
VFG029698(gb|WP_014382789),2051,882,6689,1957,8740,2839,0.23466819221967963,0.3106727721028531,0.6803625028633812,1.6988700902750593e-15,-0.07600457988317347,0.07600457988317347,1.3238810473812463,1.57145483350443e-14,TRUE,Clade_B
VFG000113,1280,600,7460,2239,8740,2839,0.14645308924485126,0.2113420218386756,0.640312661663284,1.7422950268573584e-15,-0.06488893259382433,0.06488893259382433,1.4430697428672068,1.605150518719189e-14,TRUE,Clade_B
VFG043810(gb|NP_253231),8586,2836,154,3,8740,2839,0.9823798627002288,0.9989432898908066,0.058983624343472665,2.2809231148972984e-15,-0.016563427190577795,0.016563427190577795,1.016860511722065,2.092975050229761e-14,TRUE,Clade_B
VFG016076(gb|WP_003156700),6475,2303,2265,536,8740,2839,0.7408466819221968,0.8112011271574499,0.6653608818762069,1.0637329406613022e-14,-0.07035444523525303,0.07035444523525303,1.094964919128357,9.607099865657587e-14,TRUE,Clade_B
VFG016041(gb|NP_251092),5974,2154,2766,685,8740,2839,0.6835240274599542,0.7587178584008454,0.6868662547707552,1.2806906058654102e-14,-0.07519383094089116,0.07519383094089116,1.1100090529667541,1.1521193136687258e-13,TRUE,Clade_B
VFG014920(gb|WP_003150208),6271,2238,2469,601,8740,2839,0.7175057208237986,0.7883057414582599,0.682094075823779,5.3266561586364644e-14,-0.07080002063446134,0.07080002063446134,1.0986752001826172,4.773183292153144e-13,TRUE,Clade_B
VFG009374(gb|WP_010908479),0,19,8740,2820,8740,2839,0,0.006692497358224727,0,2.402115717442071e-12,-0.006692497358224727,0.006692497358224727,Inf,2.127588206877263e-11,TRUE,Clade_B
VFG044081(gb|NP_250946),8353,2787,387,52,8740,2839,0.955720823798627,0.9816836914406482,0.40276539457104993,1.6486943972505272e-11,-0.02596286764202116,0.02596286764202116,1.0271657444261062,1.4112331892883244e-10,TRUE,Clade_B
VFG051837(gb|WP_003083691.1),8182,2746,558,93,8740,2839,0.9361556064073226,0.9672419866150053,0.4966263728673477,5.4793509186148107e-11,-0.031086380207682618,0.031086380207682618,1.0332064242257573,4.6042604422353026e-10,TRUE,Clade_B
VFG015438(gb|WP_003111627),8612,2834,128,5,8740,2839,0.9853546910755149,0.9982388164846777,0.11871475302609699,8.9509485980238e-11,-0.012884125409162839,0.012884125409162839,1.0130756219317327,7.386142476211006e-10,TRUE,Clade_B
VFG015551(gb|NP_248741),8652,2838,88,1,8740,2839,0.9899313501144165,0.9996477632969355,0.03464728956957472,5.134702662142149e-10,-0.009716413182519035,0.009716413182519035,1.0098152393914952,4.0899333010257254e-9,TRUE,Clade_B
VFG015552(gb|WP_003111526),8652,2838,88,1,8740,2839,0.9899313501144165,0.9996477632969355,0.03464728956957472,5.134702662142149e-10,-0.009716413182519035,0.009716413182519035,1.0098152393914952,4.0899333010257254e-9,TRUE,Clade_B
VFG020038(gb|WP_012613433),8652,2838,88,1,8740,2839,0.9899313501144165,0.9996477632969355,0.03464728956957472,5.134702662142149e-10,-0.009716413182519035,0.009716413182519035,1.0098152393914952,4.0899333010257254e-9,TRUE,Clade_B
VFG016036(gb|WP_010954974),16,29,8724,2810,8740,2839,0.0018306636155606408,0.010214864388869321,0.17774304563609217,1.5868459728197667e-8,-0.00838420077330868,0.00838420077330868,5.579869672419866,1.1818911239118652e-7,TRUE,Clade_B
VFG015094(gb|WP_003087668),8674,2839,66,0,8740,2839,0.9924485125858123,1,0,1.7680234527797742e-8,-0.007551487414187652,0.007551487414187652,1.0076089462762279,1.308337355057033e-7,TRUE,Clade_B
