Accession,Clade,genome_count,total_genomes,freq
VFG000195(gb|NP_250391),1,8159,8740,0.9335240274599542
VFG000195(gb|NP_250391),2,2583,2839,0.9098274040154984
VFG000196(gb|NP_250392),1,8160,8740,0.9336384439359268
VFG000196(gb|NP_250392),2,2583,2839,0.9098274040154984
VFG000197(gb|NP_250393),1,8134,8740,0.9306636155606407
VFG000197(gb|NP_250393),2,2579,2839,0.9084184572032405
VFG000198(gb|NP_250394),1,8696,8740,0.9949656750572082
VFG000198(gb|NP_250394),2,2839,2839,1
VFG000199(gb|NP_250395),1,8175,8740,0.9353546910755148
VFG000199(gb|NP_250395),2,2587,2839,0.9112363508277562
VFG000200(gb|NP_250396),1,8063,8740,0.9225400457665904
VFG000200(gb|NP_250396),2,2567,2839,0.9041916167664671
VFG000201(gb|NP_250397),1,8228,8740,0.9414187643020595
VFG000201(gb|NP_250397),2,2604,2839,0.9172243747798521
VFG000202(gb|NP_250398),1,8189,8740,0.9369565217391305
VFG000202(gb|NP_250398),2,2591,2839,0.9126452976400141
VFG000203(gb|NP_250399),1,8695,8740,0.9948512585812357
VFG000203(gb|NP_250399),2,2839,2839,1
VFG000204(gb|NP_250400),1,8213,8740,0.9397025171624714
VFG000204(gb|NP_250400),2,2600,2839,0.9158154279675942
VFG000205(gb|NP_250401),1,8160,8740,0.9336384439359268
VFG000205(gb|NP_250401),2,2585,2839,0.9105318774216273
VFG000206(gb|NP_250402),1,7987,8740,0.9138443935926773
VFG000206(gb|NP_250402),2,2549,2839,0.8978513561113068
VFG000207(gb|NP_250403),1,8154,8740,0.9329519450800915
VFG000207(gb|NP_250403),2,2584,2839,0.9101796407185628
VFG000208(gb|NP_250404),1,8200,8740,0.9382151029748284
VFG000208(gb|NP_250404),2,2600,2839,0.9158154279675942
VFG000209(gb|NP_250405),1,8200,8740,0.9382151029748284
VFG000209(gb|NP_250405),2,2600,2839,0.9158154279675942
VFG000210(gb|NP_250406),1,8157,8740,0.9332951945080091
VFG000210(gb|NP_250406),2,2585,2839,0.9105318774216273
VFG000211(gb|NP_250407),1,8682,8740,0.9933638443935927
VFG000211(gb|NP_250407),2,2839,2839,1
VFG000212(gb|NP_250408),1,8683,8740,0.9934782608695653
VFG000212(gb|NP_250408),2,2839,2839,1
VFG000213(gb|NP_250409),1,7977,8740,0.912700228832952
VFG000213(gb|NP_250409),2,2549,2839,0.8978513561113068
VFG000214(gb|NP_250410),1,8019,8740,0.9175057208237987
VFG000214(gb|NP_250410),2,2558,2839,0.9010214864388869
VFG000215(gb|NP_250411),1,8143,8740,0.9316933638443936
VFG000215(gb|NP_250411),2,2580,2839,0.908770693906305
VFG000216(gb|NP_250412),1,8163,8740,0.9339816933638444
VFG000216(gb|NP_250412),2,2587,2839,0.9112363508277562
VFG000217(gb|NP_250413),1,8141,8740,0.9314645308924485
VFG000217(gb|NP_250413),2,2579,2839,0.9084184572032405
VFG000218(gb|NP_250414),1,8196,8740,0.9377574370709382
VFG000218(gb|NP_250414),2,2599,2839,0.9154631912645298
VFG000219(gb|NP_250415),1,8184,8740,0.9363844393592677
VFG000219(gb|NP_250415),2,2594,2839,0.9137020077492075
VFG000220(gb|NP_250416),1,8189,8740,0.9369565217391305
VFG000220(gb|NP_250416),2,2594,2839,0.9137020077492075
VFG000229,1,1,8740,1.1441647597254005e-4
VFG000358(gb|WP_002212885),1,2,8740,2.288329519450801e-4
VFG000363(gb|WP_002212775),1,1,8740,1.1441647597254005e-4
VFG000366(gb|WP_002212761),1,1,8740,1.1441647597254005e-4
VFG000433(gb|NP_490508),1,1,8740,1.1441647597254005e-4
VFG000434(gb|NP_490509),1,1,8740,1.1441647597254005e-4
VFG000452(gb|NP_462537),1,1,8740,1.1441647597254005e-4
VFG000453(gb|NP_462538),1,1,8740,1.1441647597254005e-4
VFG000454(gb|NP_462539),1,1,8740,1.1441647597254005e-4
VFG000465(gb|NP_460064),1,1,8740,1.1441647597254005e-4
VFG000478(gb|NP_459678),1,1,8740,1.1441647597254005e-4
VFG000538(gb|NP_461797),1,1,8740,1.1441647597254005e-4
VFG000543(gb|NP_461803),1,1,8740,1.1441647597254005e-4
VFG000546(gb|NP_461806),1,1,8740,1.1441647597254005e-4
VFG000574(gb|NP_462662),1,1,8740,1.1441647597254005e-4
VFG000618(gb|NP_709457),1,1,8740,1.1441647597254005e-4
VFG000872(gb|WP_000044711),1,1,8740,1.1441647597254005e-4
VFG000876(gb|WP_000120946),1,1,8740,1.1441647597254005e-4
VFG000876(gb|WP_000120946),2,1,2839,3.522367030644593e-4
VFG000917(gb|WP_000089583),1,1,8740,1.1441647597254005e-4
VFG000931(gb|WP_001336900),1,2,8740,2.288329519450801e-4
VFG000937(gb|WP_000750139),1,1,8740,1.1441647597254005e-4
VFG000979(gb|WP_010921857),1,1,8740,1.1441647597254005e-4
VFG001207(gb|NP_253241),1,6993,8740,0.8001144164759726
VFG001207(gb|NP_253241),2,1821,2839,0.6414230362803804
VFG001208(gb|NP_253242),1,6283,8740,0.7188787185354691
VFG001208(gb|NP_253242),2,1689,2839,0.5949277914758718
VFG001209(gb|NP_253243),1,6868,8740,0.785812356979405
VFG001209(gb|NP_253243),2,1820,2839,0.6410707995773159
VFG001210(gb|NP_253244),1,7332,8740,0.8389016018306636
VFG001210(gb|NP_253244),2,1966,2839,0.692497358224727
VFG001211(gb|NP_253245),1,6983,8740,0.7989702517162471
VFG001211(gb|NP_253245),2,1814,2839,0.6389573793589292
VFG001212(gb|NP_253246),1,6958,8740,0.7961098398169336
VFG001212(gb|NP_253246),2,1817,2839,0.6400140894681225
VFG001213(gb|NP_253236),1,8738,8740,0.9997711670480549
VFG001213(gb|NP_253236),2,2839,2839,1
VFG001214(gb|NP_253237),1,8737,8740,0.9996567505720824
VFG001214(gb|NP_253237),2,2839,2839,1
VFG001215(gb|NP_253239),1,6987,8740,0.7994279176201373
VFG001215(gb|NP_253239),2,1819,2839,0.6407185628742516
VFG001216(gb|NP_253240),1,6991,8740,0.7998855835240275
VFG001216(gb|NP_253240),2,1818,2839,0.640366326171187
VFG001217(gb|NP_252494),1,8248,8740,0.9437070938215103
VFG001217(gb|NP_252494),2,2601,2839,0.9161676646706587
VFG001218(gb|NP_253727),1,7462,8740,0.8537757437070939
VFG001218(gb|NP_253727),2,1998,2839,0.7037689327227897
VFG001219(gb|NP_253728),1,7032,8740,0.8045766590389016
VFG001219(gb|NP_253728),2,1822,2839,0.6417752729834448
VFG001220(gb|NP_253729),1,7039,8740,0.8053775743707093
VFG001220(gb|NP_253729),2,1822,2839,0.6417752729834448
VFG001221(gb|NP_253730),1,7037,8740,0.8051487414187642
VFG001221(gb|NP_253730),2,1822,2839,0.6417752729834448
VFG001222(gb|NP_253731),1,8738,8740,0.9997711670480549
VFG001222(gb|NP_253731),2,2837,2839,0.9992955265938711
VFG001223(gb|NP_249086),1,8736,8740,0.9995423340961098
VFG001223(gb|NP_249086),2,2838,2839,0.9996477632969355
VFG001224(gb|NP_249087),1,8736,8740,0.9995423340961098
VFG001224(gb|NP_249087),2,2838,2839,0.9996477632969355
VFG001225(gb|NP_249099),1,8218,8740,0.94027459954233406
VFG001225(gb|NP_249099),2,2590,2839,0.9122930609369496
VFG001226(gb|NP_249100),1,8211,8740,0.9394736842105263
VFG001226(gb|NP_249100),2,2589,2839,0.9119408242338851
VFG001227(gb|NP_249101),1,8226,8740,0.9411899313501144
VFG001227(gb|NP_249101),2,2593,2839,0.913349771046143
VFG001228(gb|NP_249102),1,8737,8740,0.9996567505720824
VFG001228(gb|NP_249102),2,2838,2839,0.9996477632969355
VFG001229(gb|NP_249103),1,8255,8740,0.9445080091533181
VFG001229(gb|NP_249103),2,2605,2839,0.9175766114829165
VFG001230(gb|NP_251805),1,8684,8740,0.9935926773455378
VFG001230(gb|NP_251805),2,2835,2839,0.9985910531877422
VFG001231(gb|NP_249104),1,8737,8740,0.9996567505720824
VFG001231(gb|NP_249104),2,2838,2839,0.9996477632969355
VFG001232(gb|NP_249105),1,8709,8740,0.9964530892448512
VFG001232(gb|NP_249105),2,2830,2839,0.9968298696724198
VFG001233(gb|NP_249106),1,8223,8740,0.9408466819221968
VFG001233(gb|NP_249106),2,2590,2839,0.9122930609369496
VFG001234(gb|NP_249107),1,8248,8740,0.9437070938215103
VFG001234(gb|NP_249107),2,2603,2839,0.9168721380767876
VFG001235(gb|NP_249108),1,8237,8740,0.9424485125858123
VFG001235(gb|NP_249108),2,2596,2839,0.9144064811553364
VFG001236(gb|NP_249769),1,8213,8740,0.9397025171624714
VFG001236(gb|NP_249769),2,2587,2839,0.9112363508277562
VFG001237(gb|NP_249770),1,8107,8740,0.9275743707093822
VFG001237(gb|NP_249770),2,2598,2839,0.9151109545614653
VFG001238(gb|NP_249771),1,8597,8740,0.9836384439359268
VFG001238(gb|NP_249771),2,2839,2839,1
VFG001239(gb|NP_249772),1,8245,8740,0.9433638443935927
VFG001239(gb|NP_249772),2,2600,2839,0.9158154279675942
VFG001240(gb|NP_249773),1,8247,8740,0.9435926773455378
VFG001240(gb|NP_249773),2,2601,2839,0.9161676646706587
VFG001241(gb|NP_249774),1,8239,8740,0.9426773455377574
VFG001241(gb|NP_249774),2,2597,2839,0.9147587178584008
VFG001242(gb|NP_249775),1,8737,8740,0.9996567505720824
VFG001242(gb|NP_249775),2,2839,2839,1
VFG001243(gb|NP_249776),1,8738,8740,0.9997711670480549
VFG001243(gb|NP_249776),2,2839,2839,1
VFG001244(gb|NP_249777),1,3564,8740,0.4077803203661327
VFG001244(gb|NP_249777),2,451,2839,0.15885875308207115
VFG001245(gb|NP_249778),1,3562,8740,0.4075514874141876
VFG001245(gb|NP_249778),2,449,2839,0.15815427967594223
VFG001246(gb|NP_249783),1,3603,8740,0.4122425629290618
VFG001246(gb|NP_249783),2,451,2839,0.15885875308207115
VFG001247(gb|NP_249785),1,3599,8740,0.4117848970251716
VFG001247(gb|NP_249785),2,450,2839,0.1585065163790067
VFG001248(gb|NP_249788),1,8736,8740,0.9995423340961098
VFG001248(gb|NP_249788),2,2839,2839,1
VFG001249(gb|NP_249790),1,8737,8740,0.9996567505720824
VFG001249(gb|NP_249790),2,2838,2839,0.9996477632969355
VFG001250(gb|NP_249791),1,8163,8740,0.9339816933638444
VFG001250(gb|NP_249791),2,2577,2839,0.9077139837971117
VFG001251(gb|NP_249792),1,8739,8740,0.9998855835240275
VFG001251(gb|NP_249792),2,2839,2839,1
VFG001252(gb|NP_249793),1,8712,8740,0.9967963386727688
VFG001252(gb|NP_249793),2,2839,2839,1
VFG001253(gb|NP_249794),1,8250,8740,0.9439359267734554
VFG001253(gb|NP_249794),2,2601,2839,0.9161676646706587
VFG001254(gb|NP_249795),1,8739,8740,0.9998855835240275
VFG001254(gb|NP_249795),2,2839,2839,1
VFG001255(gb|NP_249796),1,8215,8740,0.9399313501144165
VFG001255(gb|NP_249796),2,2587,2839,0.9112363508277562
VFG001256(gb|NP_250134),1,8299,8740,0.9495423340961099
VFG001256(gb|NP_250134),2,2662,2839,0.9376541035575907
VFG001257(gb|NP_250135),1,8216,8740,0.940045766590389
VFG001257(gb|NP_250135),2,2591,2839,0.9126452976400141
VFG001258(gb|NP_250136),1,8213,8740,0.9397025171624714
VFG001258(gb|NP_250136),2,2590,2839,0.9122930609369496
VFG001259(gb|NP_250137),1,8244,8740,0.9432494279176201
VFG001259(gb|NP_250137),2,2600,2839,0.9158154279675942
VFG001260(gb|NP_250138),1,8016,8740,0.917162471395881
VFG001260(gb|NP_250138),2,2564,2839,0.9031349066572737
VFG001261(gb|NP_250139),1,8189,8740,0.9369565217391305
VFG001261(gb|NP_250139),2,2599,2839,0.9154631912645298
VFG001262(gb|NP_250140),1,8733,8740,0.9991990846681922
VFG001262(gb|NP_250140),2,2838,2839,0.9996477632969355
VFG001263(gb|NP_250143),1,8735,8740,0.9994279176201373
VFG001263(gb|NP_250143),2,2839,2839,1
VFG001264(gb|NP_250144),1,8735,8740,0.9994279176201373
VFG001264(gb|NP_250144),2,2827,2839,0.9957731595632265
VFG001265(gb|NP_250145),1,8249,8740,0.9438215102974828
VFG001265(gb|NP_250145),2,2589,2839,0.9119408242338851
VFG001266(gb|NP_252912),1,8722,8740,0.9979405034324943
VFG001266(gb|NP_252912),2,2836,2839,0.9989432898908066
VFG001267(gb|NP_252913),1,8713,8740,0.9969107551487414
VFG001267(gb|NP_252913),2,2833,2839,0.9978865797816132
VFG001268(gb|NP_252914),1,8702,8740,0.9956521739130435
VFG001268(gb|NP_252914),2,2814,2839,0.9911940824233885
VFG001280(gb|WP_000934435),1,1,8740,1.1441647597254005e-4
VFG001282(gb|WP_000841389),1,2,8740,2.288329519450801e-4
VFG001283(gb|WP_000794648),1,2,8740,2.288329519450801e-4
VFG001291(gb|WP_001039417),1,2,8740,2.288329519450801e-4
VFG001305(gb|WP_001034053),1,1,8740,1.1441647597254005e-4
VFG001308(gb|WP_001291010),1,3,8740,3.4324942791762013e-4
VFG001444(gb|AAG10151),1,1,8740,1.1441647597254005e-4
VFG002044(gb|WP_010930609),1,1,8740,1.1441647597254005e-4
VFG002044(gb|WP_010930609),2,1,2839,3.522367030644593e-4
VFG002055(gb|WP_000097229),2,1,2839,3.522367030644593e-4
VFG002056,2,1,2839,3.522367030644593e-4
VFG002057(gb|NP_248761),1,8705,8740,0.9959954233409611
VFG002057(gb|NP_248761),2,2838,2839,0.9996477632969355
VFG002058(gb|NP_248762),1,8703,8740,0.995766590389016
VFG002058(gb|NP_248762),2,2838,2839,0.9996477632969355
VFG002059(gb|NP_248763),1,8221,8740,0.9406178489702517
VFG002059(gb|NP_248763),2,2599,2839,0.9154631912645298
VFG002060(gb|NP_248764),1,8710,8740,0.9965675057208238
VFG002060(gb|NP_248764),2,2838,2839,0.9996477632969355
VFG002061(gb|NP_248765),1,8229,8740,0.941533180778032
VFG002061(gb|NP_248765),2,2600,2839,0.9158154279675942
VFG002062(gb|NP_248766),1,8228,8740,0.9414187643020595
VFG002062(gb|NP_248766),2,2598,2839,0.9151109545614653
VFG002063(gb|NP_248767),1,8712,8740,0.9967963386727688
VFG002063(gb|NP_248767),2,2838,2839,0.9996477632969355
VFG002064(gb|NP_248768),1,8712,8740,0.9967963386727688
VFG002064(gb|NP_248768),2,2838,2839,0.9996477632969355
VFG002065(gb|NP_248769),1,8708,8740,0.9963386727688787
VFG002065(gb|NP_248769),2,2838,2839,0.9996477632969355
VFG002066(gb|NP_248770),1,8207,8740,0.9390160183066362
VFG002066(gb|NP_248770),2,2590,2839,0.9122930609369496
VFG002067(gb|NP_248771),1,8418,8740,0.9631578947368421
VFG002067(gb|NP_248771),2,2679,2839,0.9436421275096865
VFG002068(gb|NP_248772),1,8676,8740,0.9926773455377574
VFG002068(gb|NP_248772),2,2828,2839,0.9961253962662909
VFG002069(gb|NP_248773),1,8212,8740,0.9395881006864989
VFG002069(gb|NP_248773),2,2590,2839,0.9122930609369496
VFG002070(gb|NP_248774),1,8712,8740,0.9967963386727688
VFG002070(gb|NP_248774),2,2838,2839,0.9996477632969355
VFG002071(gb|NP_248775),1,8209,8740,0.9392448512585813
VFG002071(gb|NP_248775),2,2589,2839,0.9119408242338851
VFG002072(gb|NP_248776),1,8236,8740,0.9423340961098399
VFG002072(gb|NP_248776),2,2602,2839,0.9165199013737232
VFG002073(gb|NP_248777),1,8211,8740,0.9394736842105263
VFG002073(gb|NP_248777),2,2589,2839,0.9119408242338851
VFG002074(gb|NP_248778),1,8728,8740,0.9986270022883296
VFG002074(gb|NP_248778),2,2837,2839,0.9992955265938711
VFG002075(gb|NP_248779),1,8728,8740,0.9986270022883296
VFG002075(gb|NP_248779),2,2836,2839,0.9989432898908066
VFG002076(gb|NP_248780),1,8728,8740,0.9986270022883296
VFG002076(gb|NP_248780),2,2837,2839,0.9992955265938711
VFG002077(gb|NP_248781),1,8692,8740,0.994508009153318
VFG002077(gb|NP_248781),2,2820,2839,0.9933075026417753
VFG002101(gb|WP_010948213),2,1,2839,3.522367030644593e-4
VFG002179(gb|AAD09858),1,1,8740,1.1441647597254005e-4
VFG002306(gb|NP_461449),1,1,8740,1.1441647597254005e-4
VFG002406(gb|WP_000728972),1,1,8740,1.1441647597254005e-4
VFG002409(gb|WP_000549274),2,1,2839,3.522367030644593e-4
VFG002414(gb|WP_000730972),1,1,8740,1.1441647597254005e-4
VFG002420(gb|WP_000645781),2,1,2839,3.522367030644593e-4
VFG003114(gb|WP_000784549),1,2,8740,2.288329519450801e-4
VFG003250(gb|WP_002212775),1,1,8740,1.1441647597254005e-4
VFG003385(gb|WP_002212775),1,1,8740,1.1441647597254005e-4
VFG003499(gb|WP_011816644),1,2,8740,2.288329519450801e-4
VFG003504(gb|WP_011816641),1,1,8740,1.1441647597254005e-4
VFG003507(gb|WP_005168689),1,1,8740,1.1441647597254005e-4
VFG003676(gb|WP_001120092),1,1,8740,1.1441647597254005e-4
VFG003678(gb|WP_001120088),1,1,8740,1.1441647597254005e-4
VFG003781(gb|WP_000258814),1,1,8740,1.1441647597254005e-4
VFG003783(gb|WP_000258813),1,1,8740,1.1441647597254005e-4
VFG003784(gb|WP_001540781),1,1,8740,1.1441647597254005e-4
VFG003791(gb|WP_000245782),1,1,8740,1.1441647597254005e-4
VFG003793(gb|WP_000245781),1,1,8740,1.1441647597254005e-4
VFG003794(gb|WP_001540783),1,1,8740,1.1441647597254005e-4
VFG003801(gb|WP_001166955),1,1,8740,1.1441647597254005e-4
VFG003803(gb|WP_001166948),1,1,8740,1.1441647597254005e-4
VFG004039(gb|WP_000131278),1,1,8740,1.1441647597254005e-4
VFG004041(gb|WP_000131279),1,1,8740,1.1441647597254005e-4
VFG004042(gb|WP_001541138),1,1,8740,1.1441647597254005e-4
