Genome_ID,Clade,Niche,Genomovar_Cluster,Clone_Cluster
GCA_000481405.1,CladeA,Urinary,Cluster_24,Cluster_2066
GCA_000481425.1,CladeA,Wound,Cluster_20,Cluster_459
GCA_000481445.1,CladeA,Sputum,Cluster_125,Cluster_2067
GCA_000481465.1,CladeA,Sputum,Cluster_20,Cluster_2060
GCA_000481485.1,CladeA,Wound,Cluster_60,Cluster_2068
GCA_000481525.1,CladeA,Wound,Cluster_24,Cluster_2069
GCA_000481545.1,CladeA,Wound,Cluster_116,Cluster_2070
GCA_000481565.1,CladeA,Wound,Cluster_43,Cluster_2071
GCA_000481605.1,CladeA,Urinary,Cluster_2,Cluster_1080
GCA_000481645.1,CladeA,Sputum,Cluster_10,Cluster_2072
GCA_000481665.1,CladeA,Blood,Cluster_10,Cluster_2073
GCA_000481685.1,CladeA,Urinary,Cluster_24,Cluster_2074
GCA_000481705.1,CladeB,Blood,Cluster_52,Cluster_2075
GCA_000481725.1,CladeA,Blood,Cluster_10,Cluster_2076
GCA_000481745.1,CladeB,Eye,Cluster_11,Cluster_2077
GCA_000481765.1,CladeB,Eye,Cluster_316,Cluster_2078
GCA_000481885.1,CladeA,CF,Cluster_317,Cluster_2079
GCA_000481905.1,CladeA,CF,Cluster_10,Cluster_2080
GCA_000481925.1,CladeA,CF,Cluster_2,Cluster_1949
GCA_000481945.1,CladeA,CF,Cluster_10,Cluster_1517
GCA_000481965.1,CladeA,Aquatic,Cluster_318,Cluster_2081
GCA_000481985.1,CladeA,Aquatic,Cluster_318,Cluster_2081
GCA_000482005.1,CladeA,Plant,Cluster_63,Cluster_2082
GCA_000482025.1,CladeA,Terrestrial,Cluster_289,Cluster_2083
GCA_000504045.1,CladeB,Terrestrial,Cluster_319,Cluster_2084
GCA_000510305.1,CladeA,CF,Cluster_116,Cluster_2085
GCA_000520255.1,CladeA,Sputum,Cluster_13,Cluster_2086
GCA_000520295.1,CladeA,Sputum,Cluster_9,Cluster_2087
GCA_000520315.1,CladeB,Urinary,Cluster_17,Cluster_2088
GCA_000520335.1,CladeB,Wound,Cluster_320,Cluster_2089
GCA_000520375.1,CladeA,Wound,Cluster_43,Cluster_2090
GCA_000520395.1,CladeA,Sputum,Cluster_20,Cluster_2091
GCA_000568215.1,CladeA,Aquatic,Cluster_2,Cluster_2092
GCA_000568235.2,CladeA,CF,Cluster_48,Cluster_2093
GCA_000629045.1,CladeA,Ear,Cluster_24,Cluster_2094
GCA_000629065.1,CladeA,Urinary,Cluster_5,Cluster_2095
GCA_000629085.1,CladeA,Wound,Cluster_25,Cluster_37
GCA_000629105.1,CladeA,Sputum,Cluster_2,Cluster_2096
GCA_000629125.1,CladeB,Urinary,Cluster_11,Cluster_2097
GCA_000629145.1,CladeA,Sputum,Cluster_229,Cluster_2098
GCA_000632755.1,CladeA,Aquatic,Cluster_3,Cluster_2099
GCA_000633495.1,CladeA,Plant,Cluster_20,Cluster_2100
GCA_000647595.2,CladeB,Animal,Cluster_64,Cluster_2101
GCA_000705155.1,CladeA,CF,Cluster_75,Cluster_2102
GCA_000705215.1,CladeA,CF,Cluster_24,Cluster_2103
GCA_000710625.1,CladeA,Wound,Cluster_24,Cluster_2104
GCA_000737795.1,CladeB,Blood,Cluster_11,Cluster_2105
GCA_000757505.1,CladeA,Aquatic,Cluster_105,Cluster_2106
GCA_000763245.3,CladeA,Urinary,Cluster_43,Cluster_2107
GCA_000789485.1,CladeA,Urinary,Cluster_22,Cluster_2108
GCA_000789495.1,CladeB,Lung,Cluster_151,Cluster_2109
GCA_000789535.1,CladeA,Urinary,Cluster_26,Cluster_1191
GCA_000789625.1,CladeB,Urinary,Cluster_11,Cluster_2110
GCA_000789635.1,CladeB,Urinary,Cluster_11,Cluster_2111
GCA_000789755.1,CladeA,Lung,Cluster_22,Cluster_2112
GCA_000789785.1,CladeB,Urinary,Cluster_17,Cluster_2113
GCA_000789885.1,CladeA,Urinary,Cluster_5,Cluster_2114
GCA_000789905.1,CladeA,Lung,Cluster_43,Cluster_2115
GCA_000790035.1,CladeA,Urinary,Cluster_160,Cluster_2116
GCA_000790105.1,CladeA,Urinary,Cluster_123,Cluster_2117
GCA_000790155.1,CladeA,Lung,Cluster_58,Cluster_2118
GCA_000790205.1,CladeA,Lung,Cluster_85,Cluster_2119
GCA_000790215.1,CladeA,Lung,Cluster_5,Cluster_2120
GCA_000790265.1,CladeB,Urinary,Cluster_4,Cluster_2121
GCA_000790285.1,CladeA,Urinary,Cluster_66,Cluster_2122
GCA_000790345.1,CladeB,Urinary,Cluster_64,Cluster_2123
GCA_000790355.1,CladeA,Lung,Cluster_5,Cluster_2124
GCA_000790405.1,CladeB,Lung,Cluster_11,Cluster_2125
GCA_000790425.1,CladeA,Lung,Cluster_5,Cluster_2126
GCA_000790465.1,CladeC,Urinary,Cluster_250,Cluster_2127
GCA_000790485.1,CladeA,Lung,Cluster_147,Cluster_2128
GCA_000790525.1,CladeA,Lung,Cluster_103,Cluster_2129
GCA_000790545.1,CladeA,Lung,Cluster_10,Cluster_2130
GCA_000790605.1,CladeA,Lung,Cluster_26,Cluster_2131
GCA_000790625.1,CladeA,Urinary,Cluster_5,Cluster_2132
GCA_000790655.1,CladeA,Lung,Cluster_14,Cluster_2133
GCA_000790705.1,CladeA,Urinary,Cluster_1,Cluster_8
GCA_000790825.1,CladeA,Urinary,Cluster_10,Cluster_2134
GCA_000790835.1,CladeB,Lung,Cluster_114,Cluster_2135
GCA_000790865.1,CladeA,Lung,Cluster_34,Cluster_2136
GCA_000790885.1,CladeB,Lung,Cluster_55,Cluster_2137
GCA_000790905.1,CladeA,Urinary,Cluster_9,Cluster_2138
GCA_000790985.1,CladeB,Urinary,Cluster_17,Cluster_814
GCA_000791005.1,CladeB,Urinary,Cluster_17,Cluster_2139
GCA_000791035.1,CladeB,Lung,Cluster_17,Cluster_2140
GCA_000791065.1,CladeA,Urinary,Cluster_41,Cluster_2141
GCA_000791125.1,CladeB,Lung,Cluster_11,Cluster_2142
GCA_000791185.1,CladeA,Lung,Cluster_26,Cluster_2143
GCA_000791205.1,CladeA,Lung,Cluster_43,Cluster_2144
GCA_000791225.1,CladeA,Lung,Cluster_10,Cluster_2145
GCA_000791235.1,CladeB,Urinary,Cluster_321,Cluster_2146
GCA_000791275.1,CladeA,Urinary,Cluster_20,Cluster_2147
GCA_000791325.1,CladeA,Urinary,Cluster_230,Cluster_2148
GCA_000791345.1,CladeA,Lung,Cluster_96,Cluster_2149
GCA_000791365.1,CladeB,Urinary,Cluster_126,Cluster_2150
GCA_000791405.1,CladeA,Urinary,Cluster_10,Cluster_2151
GCA_000791445.1,CladeA,Urinary,Cluster_60,Cluster_2152
GCA_000791465.1,CladeA,Lung,Cluster_322,Cluster_2153
GCA_000791495.1,CladeB,Lung,Cluster_11,Cluster_2142
GCA_000791545.1,CladeA,Urinary,Cluster_123,Cluster_2154
GCA_000791765.1,CladeB,Lung,Cluster_323,Cluster_2155
GCA_000791785.1,CladeA,Lung,Cluster_115,Cluster_2156
GCA_000791805.1,CladeB,Lung,Cluster_16,Cluster_2157
GCA_000791825.1,CladeA,Lung,Cluster_28,Cluster_2158
GCA_000791835.1,CladeA,Lung,Cluster_9,Cluster_2159
GCA_000791885.1,CladeA,Lung,Cluster_86,Cluster_2160
GCA_000791905.1,CladeA,Lung,Cluster_9,Cluster_2159
GCA_000791915.1,CladeB,Lung,Cluster_11,Cluster_2161
GCA_000792095.1,CladeA,Lung,Cluster_105,Cluster_2162
GCA_000792115.1,CladeA,Lung,Cluster_101,Cluster_2163
GCA_000792145.1,CladeA,Lung,Cluster_26,Cluster_2164
GCA_000792155.1,CladeA,Urinary,Cluster_94,Cluster_2165
GCA_000792165.1,CladeA,Urinary,Cluster_5,Cluster_2166
GCA_000792205.1,CladeB,Urinary,Cluster_11,Cluster_2167
GCA_000792245.1,CladeA,Urinary,Cluster_20,Cluster_2168
GCA_000792265.1,CladeA,Lung,Cluster_10,Cluster_2169
GCA_000792285.1,CladeB,Lung,Cluster_299,Cluster_2170
GCA_000792305.1,CladeA,Lung,Cluster_1,Cluster_8
GCA_000792325.1,CladeA,Urinary,Cluster_26,Cluster_2143
GCA_000792345.1,CladeB,Lung,Cluster_81,Cluster_2171
GCA_000792365.1,CladeA,Lung,Cluster_43,Cluster_2172
GCA_000792385.1,CladeB,Lung,Cluster_114,Cluster_2173
GCA_000792425.1,CladeB,Urinary,Cluster_81,Cluster_627
GCA_000792605.1,CladeA,Urinary,Cluster_9,Cluster_2174
GCA_000792625.1,CladeA,Urinary,Cluster_40,Cluster_2175
GCA_000792665.1,CladeB,Urinary,Cluster_11,Cluster_2176
GCA_000792725.1,CladeB,Lung,Cluster_11,Cluster_2177
GCA_000792745.1,CladeB,Lung,Cluster_324,Cluster_2178
GCA_000792765.1,CladeB,Lung,Cluster_52,Cluster_2179
GCA_000792785.1,CladeB,Lung,Cluster_11,Cluster_2180
GCA_000792845.1,CladeA,Lung,Cluster_1,Cluster_2181
GCA_000792855.1,CladeA,Lung,Cluster_10,Cluster_2130
GCA_000792945.1,CladeA,Lung,Cluster_10,Cluster_2182
GCA_000792965.1,CladeB,Urinary,Cluster_17,Cluster_2183
GCA_000792975.1,CladeB,Urinary,Cluster_11,Cluster_2184
GCA_000793045.1,CladeB,Lung,Cluster_64,Cluster_2185
GCA_000793055.1,CladeA,Lung,Cluster_9,Cluster_2186
GCA_000793105.1,CladeA,Urinary,Cluster_103,Cluster_2187
GCA_000793135.1,CladeA,Urinary,Cluster_1,Cluster_2188
GCA_000793165.1,CladeA,Lung,Cluster_136,Cluster_2189
GCA_000793185.1,CladeA,Urinary,Cluster_10,Cluster_2190
GCA_000793205.1,CladeA,Lung,Cluster_103,Cluster_2191
GCA_000793225.1,CladeB,Lung,Cluster_11,Cluster_2192
GCA_000793245.1,CladeB,Lung,Cluster_55,Cluster_2193
GCA_000793255.1,CladeA,Urinary,Cluster_40,Cluster_2194
GCA_000793285.1,CladeA,Urinary,Cluster_46,Cluster_2195
GCA_000793295.1,CladeA,Urinary,Cluster_36,Cluster_2196
GCA_000793315.1,CladeB,Lung,Cluster_11,Cluster_2197
GCA_000793365.1,CladeA,Lung,Cluster_66,Cluster_2198
GCA_000793385.1,CladeA,Urinary,Cluster_20,Cluster_2199
GCA_000793395.1,CladeA,Urinary,Cluster_1,Cluster_2200
GCA_000793445.1,CladeA,Lung,Cluster_2,Cluster_356
GCA_000793485.1,CladeA,Urinary,Cluster_9,Cluster_2201
GCA_000793505.1,CladeA,Lung,Cluster_2,Cluster_2202
GCA_000793595.1,CladeA,Lung,Cluster_325,Cluster_2203
GCA_000793615.1,CladeB,Lung,Cluster_151,Cluster_2204
GCA_000793645.1,CladeB,Lung,Cluster_52,Cluster_2205
GCA_000793745.1,CladeB,Urinary,Cluster_156,Cluster_2206
GCA_000793765.1,CladeA,Lung,Cluster_242,Cluster_2207
GCA_000793825.1,CladeA,Lung,Cluster_36,Cluster_2208
GCA_000793845.1,CladeA,Urinary,Cluster_79,Cluster_2209
GCA_000793865.1,CladeA,Urinary,Cluster_326,Cluster_2210
GCA_000793885.1,CladeA,Urinary,Cluster_20,Cluster_2147
GCA_000793915.1,CladeB,Lung,Cluster_151,Cluster_2204
GCA_000793945.1,CladeA,Urinary,Cluster_40,Cluster_2211
GCA_000793955.1,CladeB,Lung,Cluster_114,Cluster_2212
GCA_000794005.1,CladeA,Lung,Cluster_230,Cluster_2148
GCA_000794045.1,CladeA,Urinary,Cluster_51,Cluster_2213
GCA_000794055.1,CladeB,Lung,Cluster_11,Cluster_2214
GCA_000794085.1,CladeA,Urinary,Cluster_1,Cluster_2215
GCA_000794095.1,CladeA,Lung,Cluster_2,Cluster_356
GCA_000794195.1,CladeB,Lung,Cluster_52,Cluster_2216
GCA_000794245.1,CladeA,Urinary,Cluster_5,Cluster_2217
GCA_000794265.1,CladeA,Urinary,Cluster_5,Cluster_2218
GCA_000794285.1,CladeA,Lung,Cluster_1,Cluster_2219
GCA_000794305.1,CladeA,Lung,Cluster_141,Cluster_2220
GCA_000794325.1,CladeA,Lung,Cluster_1,Cluster_2221
GCA_000794405.1,CladeA,Lung,Cluster_1,Cluster_2222
GCA_000794425.1,CladeA,Lung,Cluster_24,Cluster_2223
GCA_000794445.1,CladeA,Lung,Cluster_35,Cluster_2224
GCA_000794455.1,CladeA,Urinary,Cluster_40,Cluster_2225
GCA_000794485.1,CladeA,Urinary,Cluster_10,Cluster_2226
GCA_000794515.1,CladeA,Lung,Cluster_24,Cluster_2227
GCA_000794555.1,CladeB,Urinary,Cluster_11,Cluster_2228
GCA_000794605.1,CladeA,Lung,Cluster_14,Cluster_2229
GCA_000794735.1,CladeB,Lung,Cluster_64,Cluster_2230
GCA_000794785.1,CladeB,Lung,Cluster_11,Cluster_2231
GCA_000794845.1,CladeA,Lung,Cluster_2,Cluster_2232
GCA_000794925.1,CladeA,Urinary,Cluster_1,Cluster_27
GCA_000794965.1,CladeA,Lung,Cluster_103,Cluster_2233
GCA_000794995.1,CladeA,Lung,Cluster_90,Cluster_2234
GCA_000795025.1,CladeA,Urinary,Cluster_59,Cluster_2235
GCA_000795045.1,CladeA,Lung,Cluster_26,Cluster_2236
GCA_000795085.1,CladeA,Urinary,Cluster_43,Cluster_2237
GCA_000795115.1,CladeA,Lung,Cluster_9,Cluster_2238
GCA_000795145.1,CladeB,Lung,Cluster_151,Cluster_2239
GCA_000795165.1,CladeA,Urinary,Cluster_103,Cluster_2240
GCA_000795205.1,CladeA,Urinary,Cluster_43,Cluster_2241
GCA_000795235.1,CladeA,Urinary,Cluster_43,Cluster_2242
GCA_000795285.1,CladeA,Lung,Cluster_10,Cluster_2243
GCA_000795305.1,CladeA,Lung,Cluster_9,Cluster_2244
GCA_000795325.1,CladeA,Lung,Cluster_110,Cluster_2245
GCA_000795345.1,CladeB,Lung,Cluster_52,Cluster_2246
GCA_000795405.1,CladeA,Lung,Cluster_82,Cluster_2247
GCA_000795605.1,CladeB,Lung,Cluster_11,Cluster_374
GCA_000796205.1,CladeA,Urinary,Cluster_1,Cluster_2248
GCA_000796225.1,CladeB,Urinary,Cluster_11,Cluster_2249
GCA_000796285.1,CladeA,Urinary,Cluster_102,Cluster_2250
GCA_000796295.1,CladeB,Urinary,Cluster_80,Cluster_2251
GCA_000796325.1,CladeA,Urinary,Cluster_103,Cluster_2252
GCA_000796345.1,CladeA,Urinary,Cluster_1,Cluster_2253
GCA_000796365.1,CladeA,Urinary,Cluster_1,Cluster_2254
GCA_000796385.1,CladeA,Urinary,Cluster_40,Cluster_2255
GCA_000796405.1,CladeA,Lung,Cluster_1,Cluster_2256
GCA_000796425.1,CladeB,Urinary,Cluster_145,Cluster_2257
GCA_000796445.1,CladeA,Lung,Cluster_26,Cluster_2258
GCA_000796465.1,CladeA,Lung,Cluster_94,Cluster_2259
GCA_000796475.1,CladeA,Lung,Cluster_1,Cluster_2260
GCA_000796505.1,CladeA,Lung,Cluster_19,Cluster_2261
GCA_000796525.1,CladeA,CF,Cluster_40,Cluster_2262
GCA_000796555.1,CladeA,CF,Cluster_10,Cluster_2263
GCA_000796585.1,CladeA,CF,Cluster_327,Cluster_2264
GCA_000796615.1,CladeA,CF,Cluster_75,Cluster_2265
GCA_000796655.1,CladeA,CF,Cluster_3,Cluster_2266
GCA_000796685.1,CladeA,CF,Cluster_92,Cluster_2267
GCA_000796745.1,CladeA,CF,Cluster_93,Cluster_2268
GCA_000796765.1,CladeA,CF,Cluster_269,Cluster_2269
GCA_000796785.1,CladeA,CF,Cluster_175,Cluster_2270
GCA_000796795.1,CladeA,CF,Cluster_60,Cluster_2271
GCA_000796825.1,CladeA,CF,Cluster_2,Cluster_2272
GCA_000796875.1,CladeA,CF,Cluster_14,Cluster_2273
GCA_000796925.1,CladeA,CF,Cluster_103,Cluster_2274
GCA_000796945.1,CladeA,CF,Cluster_43,Cluster_2275
GCA_000796955.1,CladeA,CF,Cluster_10,Cluster_2276
GCA_000797005.1,CladeA,CF,Cluster_43,Cluster_2277
GCA_000797045.1,CladeA,CF,Cluster_34,Cluster_2278
GCA_000797055.1,CladeA,CF,Cluster_328,Cluster_2279
GCA_000797105.1,CladeA,CF,Cluster_20,Cluster_2280
GCA_000797125.1,CladeA,CF,Cluster_75,Cluster_2281
GCA_000797145.1,CladeA,CF,Cluster_75,Cluster_2282
GCA_000797165.1,CladeA,CF,Cluster_75,Cluster_2283
GCA_000797225.1,CladeA,CF,Cluster_211,Cluster_2284
GCA_000797245.1,CladeA,CF,Cluster_41,Cluster_2285
GCA_000797265.1,CladeA,CF,Cluster_329,Cluster_2286
GCA_000797285.1,CladeA,CF,Cluster_35,Cluster_2287
GCA_000797325.1,CladeA,CF,Cluster_5,Cluster_2288
GCA_000797355.1,CladeA,CF,Cluster_41,Cluster_2289
GCA_000797395.1,CladeA,Lung,Cluster_1,Cluster_2290
GCA_000813565.1,CladeA,Aquatic,Cluster_287,Cluster_2291
GCA_000817865.1,CladeA,Blood,Cluster_25,Cluster_2292
GCA_000823905.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000823925.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000823945.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000823965.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000823985.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824005.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824025.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824045.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824065.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824085.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824105.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824125.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824145.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824165.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824185.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824205.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824225.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824245.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824265.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824285.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824305.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824325.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824345.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824365.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824385.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824405.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824425.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824445.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824465.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824485.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824505.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824525.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824545.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824565.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824585.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824605.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824625.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824645.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824665.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000824685.1,CladeA,Sputum,Cluster_82,Cluster_691
GCA_000950725.1,CladeA,CF,Cluster_1,Cluster_2293
GCA_000982125.1,CladeB,Wound,Cluster_151,Cluster_2294
GCA_000982155.1,CladeA,Wound,Cluster_92,Cluster_2295
GCA_001007215.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001007275.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001007425.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001007475.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001010535.1,CladeA,CF,Cluster_20,Cluster_2297
GCA_001013395.1,CladeA,Blood,Cluster_47,Cluster_2298
GCA_001023615.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023625.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023635.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023685.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023705.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023735.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023755.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023765.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023815.1,CladeA,CF,Cluster_20,Cluster_2299
GCA_001023835.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023845.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023875.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023895.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023915.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023925.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023975.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023985.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001023995.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024035.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024055.1,CladeA,CF,Cluster_20,Cluster_2300
GCA_001024065.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024075.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024115.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024125.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024135.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024145.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024205.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024215.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024235.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024275.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024285.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024305.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024325.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024355.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024365.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024375.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024395.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024435.1,CladeA,CF,Cluster_20,Cluster_2301
GCA_001024445.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024455.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024495.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024515.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024535.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024545.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024585.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024615.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024635.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024645.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024655.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024715.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024725.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024755.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024765.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024775.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024805.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024835.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024845.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024855.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024875.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024925.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024945.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024955.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001024995.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034665.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034745.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034755.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034765.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034785.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034825.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034855.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034875.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034905.1,CladeA,CF,Cluster_20,Cluster_2296
GCA_001034955.1,CladeA,CF,Cluster_20,Cluster_2296
