Condition,Gene_file,Gene_mean_dnds,N_pairwise_values
Clade A vs. A reference,VFG001231.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.16582401556776558,8736
Clade A vs. A reference,VFG001232.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01065863604405906,8534
Clade A vs. A reference,VFG001238.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.013935689170182843,8532
Clade A vs. A reference,VFG001242.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.010471539172636931,8654
Clade A vs. A reference,VFG001243.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07513017929590368,7641
Clade A vs. A reference,VFG001248.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.009299616858237547,8613
Clade A vs. A reference,VFG001249.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07547262001156739,8645
Clade A vs. A reference,VFG001251.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03486720932917677,8661
Clade A vs. A reference,VFG001252.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.001921021611001965,8653
Clade A vs. A reference,VFG001254.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02155380381604697,8176
Clade A vs. A reference,VFG001262.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.00745294395280236,8475
Clade A vs. A reference,VFG001263.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.019032309285467727,8691
Clade A vs. A reference,VFG001264.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.030086721039887857,7847
Clade A vs. A reference,VFG001266.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2553968659468001,7594
Clade A vs. A reference,VFG001267.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2453562848003791,8441
Clade A vs. A reference,VFG001268.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.17956148388091933,6483
Clade A vs. A reference,VFG002057.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.027976618403733396,8357
Clade A vs. A reference,VFG002058.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.09282880419773544,7242
Clade A vs. A reference,VFG002060.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.15675296720458096,7684
Clade A vs. A reference,VFG002063.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06678503519095419,8667
Clade A vs. A reference,VFG002064.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.021458416676708038,8299
Clade A vs. A reference,VFG002065.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.013920334094459799,8321
Clade A vs. A reference,VFG002067.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12054888734353268,7190
Clade A vs. A reference,VFG002068.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.23575457241720219,8092
Clade A vs. A reference,VFG002070.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.015223113480931959,8627
Clade A vs. A reference,VFG002074.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04744696327683616,8496
Clade A vs. A reference,VFG002075.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01729532896277219,8542
Clade A vs. A reference,VFG002076.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.23785348410757945,8180
Clade A vs. A reference,VFG002077.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06416779319041614,7930
Clade A vs. A reference,VFG013836.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.012394770408163265,8624
Clade A vs. A reference,VFG013897.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.001564770004791567,8348
Clade A vs. A reference,VFG013898.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0013543158861340678,8712
Clade A vs. A reference,VFG013910.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.008098033958891868,7833
Clade A vs. A reference,VFG013911.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.00811798799948934,7833
Clade A vs. A reference,VFG013973.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.15321960967628842,8557
Clade A vs. A reference,VFG013986.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03463286540049546,8477
Clade A vs. A reference,VFG013996.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0452735030970406,8718
Clade A vs. A reference,VFG014043.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01789333410085195,8686
Clade A vs. A reference,VFG014044.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.018275454754777803,8686
Clade A vs. A reference,VFG014062.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.1648458676739927,8736
Clade A vs. A reference,VFG014075.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.010682419260129184,8515
Clade A vs. A reference,VFG014117.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12291560557075354,8042
Clade A vs. A reference,VFG014147.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.46241025976147687,6121
Clade A vs. A reference,VFG014189.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.013935689170182843,8532
Clade A vs. A reference,VFG014240.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.009611932615816566,8548
Clade A vs. A reference,VFG014241.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.010471539172636931,8654
Clade A vs. A reference,VFG014254.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07513017929590368,7641
Clade A vs. A reference,VFG014358.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.009223963775687913,8613
Clade A vs. A reference,VFG014369.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04442630396215257,8455
Clade A vs. A reference,VFG014371.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04442630396215257,8455
Clade A vs. A reference,VFG014384.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07547262001156739,8645
Clade A vs. A reference,VFG014409.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03467263279445728,8660
Clade A vs. A reference,VFG014410.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03486720932917677,8661
Clade A vs. A reference,VFG014423.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.001922576914179968,8646
Clade A vs. A reference,VFG014449.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02155380381604697,8176
Clade A vs. A reference,VFG014473.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.13956140135218192,8135
Clade A vs. A reference,VFG014475.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.13955425374969263,8134
Clade A vs. A reference,VFG014501.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.003945472178445872,8249
Clade A vs. A reference,VFG014579.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.00745294395280236,8475
Clade A vs. A reference,VFG014591.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.019032309285467727,8691
Clade A vs. A reference,VFG014592.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.019032309285467727,8691
Clade A vs. A reference,VFG014605.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.030086721039887857,7847
Clade A vs. A reference,VFG014681.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01738922326632568,8407
Clade A vs. A reference,VFG014683.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01742238112263139,8391
Clade A vs. A reference,VFG014747.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,-0.012909677047289502,8670
Clade A vs. A reference,VFG014748.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,-0.012908188213585511,8671
Clade A vs. A reference,VFG014759.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02281164131501472,8152
Clade A vs. A reference,VFG014760.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02281164131501472,8152
Clade A vs. A reference,VFG014771.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.025361947004608296,8680
Clade A vs. A reference,VFG014772.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.025361947004608296,8680
Clade A vs. A reference,VFG014783.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.11842752535229817,7593
Clade A vs. A reference,VFG014784.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.11825797445015146,7593
Clade A vs. A reference,VFG014796.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08578600074266618,8079
Clade A vs. A reference,VFG014797.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08578600074266618,8079
Clade A vs. A reference,VFG014808.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06838477032670107,8142
Clade A vs. A reference,VFG014809.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07497256527657468,8081
Clade A vs. A reference,VFG014820.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.062286497161194755,8102
Clade A vs. A reference,VFG014821.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06225645519624783,8102
Clade A vs. A reference,VFG014832.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05004975714285714,7000
Clade A vs. A reference,VFG014833.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.050331937172774864,7067
Clade A vs. A reference,VFG014844.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.09206064665722015,7763
Clade A vs. A reference,VFG014845.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0920338786551591,7763
Clade A vs. A reference,VFG014857.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03186762674159935,8541
Clade A vs. A reference,VFG014858.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03159442753453524,8542
Clade A vs. A reference,VFG014881.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.042237307418819627,8438
Clade A vs. A reference,VFG014882.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04310436122303863,8438
Clade A vs. A reference,VFG014893.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2608470821917808,7300
Clade A vs. A reference,VFG014895.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2608470821917808,7300
Clade A vs. A reference,VFG014950.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02295124721864387,8539
Clade A vs. A reference,VFG014951.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.022915893651909117,8538
Clade A vs. A reference,VFG014952.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02295124721864387,8539
Clade A vs. A reference,VFG014978.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02035191139692747,8397
Clade A vs. A reference,VFG014984.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.023614969989408027,8497
Clade A vs. A reference,VFG014986.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.023621216756883973,8498
Clade A vs. A reference,VFG015000.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12452739330269207,7615
Clade A vs. A reference,VFG015001.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12441645652744943,7614
Clade A vs. A reference,VFG015002.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.12452739330269207,7615
Clade A vs. A reference,VFG015044.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0974293966323667,8552
Clade A vs. A reference,VFG015067.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03235260142104057,8726
Clade A vs. A reference,VFG015069.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.032273298189319274,8726
Clade A vs. A reference,VFG015094.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06034737740912418,8198
Clade A vs. A reference,VFG015108.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05127860749090055,8517
Clade A vs. A reference,VFG015120.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04654249970494512,8473
Clade A vs. A reference,VFG015130.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10744193143287706,7963
Clade A vs. A reference,VFG015146.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04878866489159376,7887
Clade A vs. A reference,VFG015148.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.13056415711947628,6721
Clade A vs. A reference,VFG015168.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2940565312046444,6890
Clade A vs. A reference,VFG015365.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.027976618403733396,8357
Clade A vs. A reference,VFG015366.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.027976618403733396,8357
Clade A vs. A reference,VFG015372.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0920382531785517,7236
Clade A vs. A reference,VFG015373.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.09282880419773544,7242
Clade A vs. A reference,VFG015386.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.1554290343486714,7715
Clade A vs. A reference,VFG015387.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.1534604379940391,7717
Clade A vs. A reference,VFG015403.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07122593746394369,8667
Clade A vs. A reference,VFG015404.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07122593746394369,8667
Clade A vs. A reference,VFG015412.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.022629269175108536,8292
Clade A vs. A reference,VFG015413.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.021458416676708038,8299
Clade A vs. A reference,VFG015417.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.013920334094459799,8321
Clade A vs. A reference,VFG015418.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.013920334094459799,8321
Clade A vs. A reference,VFG015433.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2296540598577372,7451
Clade A vs. A reference,VFG015438.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.23224734678624814,8028
Clade A vs. A reference,VFG015447.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.015223183030022024,8627
Clade A vs. A reference,VFG015448.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.015223113480931959,8627
Clade A vs. A reference,VFG015473.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04752103342749529,8496
Clade A vs. A reference,VFG015474.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.04744696327683616,8496
Clade A vs. A reference,VFG015483.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.01730090142823695,8542
Clade A vs. A reference,VFG015491.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.23750496332518334,8180
Clade A vs. A reference,VFG015492.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.23785343520782393,8180
Clade A vs. A reference,VFG015500.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06687224675160844,7927
Clade A vs. A reference,VFG015501.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06405068095838588,7930
Clade A vs. A reference,VFG015515.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08402849833717063,7818
Clade A vs. A reference,VFG015516.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05626660146061555,7668
Clade A vs. A reference,VFG015517.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07876488324352066,7794
Clade A vs. A reference,VFG015537.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05029820751014,7643
Clade A vs. A reference,VFG015538.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0765616468459152,7736
Clade A vs. A reference,VFG015547.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.024357317252537137,6799
Clade A vs. A reference,VFG015549.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05098247779443996,8669
Clade A vs. A reference,VFG015550.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05162807058009457,8671
Clade A vs. A reference,VFG015551.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08077620198115487,8278
Clade A vs. A reference,VFG015552.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08077620198115487,8278
Clade A vs. A reference,VFG015555.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.09886534530042383,8022
Clade A vs. A reference,VFG015558.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.012034965208747514,8048
Clade A vs. A reference,VFG015561.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.07351840469208211,8525
Clade A vs. A reference,VFG015846.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06377539932377288,8577
Clade A vs. A reference,VFG015848.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.06377539932377288,8577
Clade A vs. A reference,VFG015850.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.21588194705808558,7971
Clade A vs. A reference,VFG015851.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.21586580960742505,7973
Clade A vs. A reference,VFG015852.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.041595189782764386,8378
Clade A vs. A reference,VFG015853.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.041595189782764386,8378
Clade A vs. A reference,VFG015854.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.041595189782764386,8378
Clade A vs. A reference,VFG015856.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02285560468451243,8368
Clade A vs. A reference,VFG015858.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.02326712445308702,8228
Clade A vs. A reference,VFG015862.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.18275071034401785,8517
Clade A vs. A reference,VFG015920.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10876619988207548,6784
Clade A vs. A reference,VFG015922.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10876619988207548,6784
Clade A vs. A reference,VFG015926.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10625421129181542,7563
Clade A vs. A reference,VFG015928.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10625421129181542,7563
Clade A vs. A reference,VFG015950.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10092371332371333,8316
Clade A vs. A reference,VFG015952.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10092371332371333,8316
Clade A vs. A reference,VFG016046.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03743462475350887,8621
Clade A vs. A reference,VFG016048.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.03743462475350887,8621
Clade A vs. A reference,VFG016058.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10623138803066712,8739
Clade A vs. A reference,VFG016059.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10609948216340621,8690
Clade A vs. A reference,VFG016060.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.10576823435175649,8739
Clade A vs. A reference,VFG016107.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2553968659468001,7594
Clade A vs. A reference,VFG016111.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.2437736137440758,8440
Clade A vs. A reference,VFG016115.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.17955178957112,6482
Clade A vs. A reference,VFG016117.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.18994545038342678,8737
Clade A vs. A reference,VFG016118.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.19051949181641295,8737
Clade A vs. A reference,VFG016122.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.25833147579693033,8470
Clade A vs. A reference,VFG016130.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.1920862056610534,8373
Clade A vs. A reference,VFG016146.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.08301398015719623,7761
Clade A vs. A reference,VFG016153.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.05782755063530004,7949
Clade A vs. A reference,VFG019737.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.012394770408163265,8624
Clade A vs. A reference,VFG019744.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.0013543158861340678,8712
Clade A vs. A reference,VFG019758.nogap.dedup.nt_ali_1v1_G1_groupwise_dnds.csv,0.15250322542947292,8557
